lon,lat,h,pd
-7.65507637907261,0.000130141897682483,17.32677,2.433916
-7.65688768749512,0.0182376411090077,17.64157,2.433916
-7.65868939234963,0.0362306804132147,17.68513,2.433917
-7.660486976563,0.0542253111412084,17.69955,2.433918
-7.66229482605444,0.072280101903871,17.39468,2.433919
-7.66412094289483,0.0905455368688758,17.18009,2.433921
-7.66592217017203,0.108537206290329,16.98013,2.433922
-7.66772548011601,0.12659814330346,17.69043,2.433924
-7.66952835372817,0.144648037894845,17.067,2.433926
-7.67135841377571,0.16293782973213,16.76491,2.433928
-7.67316257210377,0.180958502054694,17.32361,2.43393
-7.67501365897295,0.199481405934373,17.08028,2.433932
-7.6769468073192,0.218797782049759,18.03016,2.433934
-7.67875407222366,0.236855618201048,17.29871,2.433936
-7.68057096928081,0.255044821315339,17.49955,2.433939
-7.68237521237281,0.273080047079298,18.00021,2.433941
-7.68417801098257,0.291134084043185,17.52394,2.433943
-7.68598715485486,0.309189113870183,17.26797,2.433945
-7.68814696539377,0.330815349338489,17.31002,2.433948
-7.69006386986567,0.349974946491863,17.67375,2.433951
-7.69344128855752,0.383733286691301,16.84789,2.433955
-7.70952600079039,0.544615247134198,17.10152,2.433971
-7.71289768088831,0.57834614298164,17.22266,2.433973
-7.71470911115528,0.596412927855741,17.36137,2.433975
-7.71653173083769,0.614631049996366,16.84369,2.433976
-7.71833088299896,0.632676050686924,17.23872,2.433977
-7.72013536448214,0.650713440921211,17.20167,2.433978
-7.72203177336535,0.669641287599916,17.64242,2.433979
-7.72587645051292,0.708090285930393,17.11261,2.433981
-7.72768053563821,0.726120375155959,17.65303,2.433982
-7.73031631067391,0.752476569417612,17.89671,2.433983
-7.73221095413813,0.771413161401553,17.57084,2.433984
-7.73530284184595,0.802331088152276,17.34907,2.433986
-7.74354701314999,0.884733328593513,16.98005,2.43399
-7.74537139589865,0.90295481683875,17.58926,2.433991
-7.74719298192965,0.921162479362241,17.02727,2.433992
-7.7490012167301,0.939207918710498,17.4012,2.433993
-7.75080755241634,0.957250052051277,17.64923,2.433995
-7.7526079818248,0.975249459612242,17.09088,2.433996
-7.75459842705091,0.995146482738786,17.58343,2.433997
-7.75751839531586,1.02435846998911,17.30791,2.433999
-7.75932621063671,1.04242692765004,17.40662,2.434
-7.7611309577925,1.06042750551948,17.42192,2.434001
-7.76616382467613,1.1107966436096,17.69885,2.434005
-7.76957530521937,1.14488986432811,17.56438,2.434007
-7.77137648680072,1.16291939725332,16.96425,2.434008
-7.77348549232716,1.18403642101898,18.03873,2.434009
-7.77621272412037,1.21131123952674,18.29167,2.434011
-7.77889901894976,1.23815527042912,17.60585,2.434012
-7.78114920555963,1.26071934197897,17.13633,2.434014
-7.78393121026951,1.28852584417168,17.34902,2.434016
-7.78573262608023,1.30655358745701,18.15089,2.434017
-7.78752807694617,1.32456559529241,17.82334,2.434018
-7.78933656309189,1.34262555798584,18.43966,2.43402
-7.79113969677719,1.36070659106385,17.91803,2.434021
-7.79294015433945,1.37870761100036,17.12136,2.434023
-7.79475975064453,1.39689433054682,17.82765,2.434024
-7.79656540457211,1.41497400977236,17.64853,2.434026
-7.7983709660981,1.43302901218336,17.9351,2.434028
-7.8001956909518,1.45130842223806,17.54908,2.43403
